date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-06-04,0.493375753264309,2715.3475893453647,12119.44361248871,,,,,14834.791201834076
2020-06-05,0.46193188817653824,2634.2899756692827,12200.532670029881,,,,,14834.822645699163
2020-06-06,0.4333430627636403,2555.650178708713,12279.201055815864,,,,,14834.851234524576
2020-06-07,0.40729966181675453,2479.3562999328215,12355.520977992703,,,,,14834.877277925523
2020-06-08,0.38353043799167374,2405.338550142898,12429.562497006451,,,,,14834.90104714935
2020-06-09,0.3617972273741407,2333.529191684085,12501.39358867588,,,,,14834.922780359966
2020-06-10,0.3418904582330395,2263.862481601809,12571.080205527298,,,,,14834.942687129107
2020-06-11,0.3236253367794785,2196.2746158314035,12638.686336419158,,,,,14834.960952250562
2020-06-12,0.3068385582756568,2130.7036745312644,12704.2740644978,,,,,14834.977739029066
2020-06-13,0.2913855360524798,2067.089568545604,12767.903623505685,,,,,14834.993192051288
2020-06-14,0.27713799763731806,2005.3739871005932,12829.63345248911,,,,,14835.007439589703
2020-06-15,0.26398192446621627,1945.5003467252432,12889.520248937632,,,,,14835.020595662874
2020-06-16,0.25181577737956085,1887.4137414160014,12947.619020393959,,,,,14835.03276180996
2020-06-17,0.2405489645537161,1831.0608940506688,13003.98313457212,,,,,14835.044028622788
2020-06-18,0.23010051629878323,1776.390109050222,13058.66436802082,,,,,14835.054477071042
2020-06-19,0.2203979374644889,1723.3512262788852,13111.71295337099,,,,,14835.064179649875
2020-06-20,0.21137620816623662,1671.8955761751042,13163.177625204069,,,,,14835.073201379173
2020-06-21,0.20297691118209202,1621.9759360975818,13213.105664578576,,,,,14835.081600676158
2020-06-22,0.19514748651432204,1573.5464878498096,13261.542942251017,,,,,14835.089430100827
2020-06-23,0.18784055861118454,1526.5627764014775,13308.533960627252,,,,,14835.096737028729
2020-06-24,0.18101336682970504,1480.9816697410351,13354.121894479475,,,,,14835.10356422051
2020-06-25,0.17462724835182006,1436.761319875711,13398.348630463277,,,,,14835.109950338989
2020-06-26,0.1686472005977925,1393.861124917391,13441.25480546935,,,,,14835.115930386743
2020-06-27,0.16304148228566365,1352.241692263088,13482.879843841965,,,,,14835.121536105053
2020-06-28,0.15778127372085346,1311.8648028159928,13523.261993497625,,,,,14835.126796313618
2020-06-29,0.15284036830218758,1272.6933762455533,13562.438360973483,,,,,14835.131737219037
2020-06-30,0.148194904883878,1234.691437243513,13600.444945438941,,,,,14835.136382682454
2020-07-01,0.14382312802811822,1197.8240827606207,13637.31667169869,,,,,14835.140754459311
2020-07-02,0.13970517651922815,1162.0574501941085,13673.087422216711,,,,,14835.14487241082
2020-07-03,0.13582289533842243,1127.3586865018517,13707.790068190148,,,,,14835.148754692
2020-07-04,0.13215966807642415,1093.6959182188632,13741.4564997004,,,,,14835.152417919264
2020-07-05,0.12870026814821872,1061.038222350627,13774.117654968564,,,,,14835.155877319192
2020-07-06,0.12543072520285978,1029.355598120595,13805.803548741542,,,,,14835.159146862137
2020-07-07,0.12233820886061669,998.6189395447519,13836.543299833727,,,,,14835.16223937848
2020-07-08,0.11941091890378049,968.800008818011,13866.365157850425,,,,,14835.165166668436
2020-07-09,0.11663799185737855,939.8714104800899,13895.296529115392,,,,,14835.167939595482
2020-07-10,0.11400941671890061,911.8065663436198,13923.364001827,,,,,14835.170568170619
2020-07-11,0.11151595516376417,884.5796911657708,13950.593370466406,,,,,14835.173061632177
2020-07-12,0.10914907652568066,858.1657690335495,13977.009659477266,,,,,14835.175428510815
2020-07-13,0.10690089235573384,832.5405304526435,14002.637146242341,,,,,14835.177676694984
2020-07-14,0.10476410240670063,807.6804301110614,14027.499383373874,,,,,14835.179813484934
